1	0.538782
2	0.587599
3	0.763355
4	0.714254
5	0.596168
6	0.570499
7	0.600168
8	0.562308
9	0.583343
10	0.557939
11	0.516551
12	0.542101
13	0.514328
14	0.653947
15	0.673694
16	0.515641
17	0.520933
18	0.514421
19	0.514804
20	0.515686
21	0.515477
22	0.69966
23	0.518795
24	0.574279
25	0.52605
26	0.516984
27	0.516996
28	0.743237
29	0.516157
30	0.542671
31	0.575366
32	0.635075
33	0.735314
34	0.5177
35	0.516242
36	0.516117
37	0.516384
38	0.522192
39	0.693059
40	0.655312
41	0.626592
42	0.517177
43	0.76652
44	0.756845
45	0.520371
46	0.606462
47	0.548916
48	0.807672
49	0.723092
50	0.544236
51	0.539414
52	0.516782
53	0.51671
54	0.782703
55	0.694454
56	0.65683
57	0.616309
58	0.517513
59	0.765681
60	0.741128
61	0.537316
62	0.65224
63	0.58761
64	0.866503
