             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7406175 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406176 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406177 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406178 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406179 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406180 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406181 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406182 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406183 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406184 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406185 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406186 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406187 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406188 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406189 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406190 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406191 general-c fastq-du     jw24 PD       0:00      1 (Priority)
           7406041 general-c     rW89 kgvansly PD       0:00      1 (Priority)
           7406049 general-c     rW67 kgvansly PD       0:00      1 (Priority)
           7406050 general-c     rW57 kgvansly PD       0:00      1 (Priority)
           7406051 general-c     rW27 kgvansly PD       0:00      1 (Priority)
           7406052 general-c     rW21 kgvansly PD       0:00      1 (Priority)
           7406042 general-c     rW37 kgvansly PD       0:00      1 (Priority)
           7406043 general-c      rW3 kgvansly PD       0:00      1 (Priority)
           7406044 general-c     rW45 kgvansly PD       0:00      1 (Priority)
           7406045 general-c     rW17 kgvansly PD       0:00      1 (Priority)
           7406046 general-c     rW71 kgvansly PD       0:00      1 (Priority)
           7406047 general-c     rW79 kgvansly PD       0:00      1 (Priority)
           7406048 general-c     rW47 kgvansly PD       0:00      1 (Priority)
           7406057 general-c     rW19 kgvansly PD       0:00      1 (Priority)
           7406058 general-c     rW49 kgvansly PD       0:00      1 (Priority)
           7406059 general-c     rW31 kgvansly PD       0:00      1 (Priority)
           7406053 general-c      rW7 kgvansly PD       0:00      1 (Priority)
           7406054 general-c     rW83 kgvansly PD       0:00      1 (Priority)
           7406055 general-c     rW35 kgvansly PD       0:00      1 (Priority)
           7406056 general-c     rW39 kgvansly PD       0:00      1 (Priority)
           7406060 general-c      rW9 kgvansly PD       0:00      1 (Priority)
           7406061 general-c     rW91 kgvansly PD       0:00      1 (Priority)
           7406062 general-c     rW55 kgvansly PD       0:00      1 (Priority)
           7406063 general-c     rW11 kgvansly PD       0:00      1 (Priority)
           7406064 general-c     rW41 kgvansly PD       0:00      1 (Priority)
           7406065 general-c     rW43 kgvansly PD       0:00      1 (Priority)
           7406066 general-c    rW101 kgvansly PD       0:00      1 (Priority)
           7406067 general-c     rW53 kgvansly PD       0:00      1 (Priority)
           7406068 general-c     rW25 kgvansly PD       0:00      1 (Priority)
           7406069 general-c     rW73 kgvansly PD       0:00      1 (Priority)
           7406070 general-c     rW97 kgvansly PD       0:00      1 (Priority)
           7406071 general-c     rW59 kgvansly PD       0:00      1 (Priority)
           7406072 general-c     rW33 kgvansly PD       0:00      1 (Priority)
           7406073 general-c     rW61 kgvansly PD       0:00      1 (Priority)
           7406074 general-c     rW75 kgvansly PD       0:00      1 (Priority)
           7406022 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406023 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406024 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406075 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406076 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406077 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406078 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406079 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406080 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406081 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406082 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406083 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406084 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406085 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406087 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406088 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7406089 general-c 150GPa_P tiangebi PD       0:00      1 (Priority)
           7405845 general-c spla10s3 yiqichen PD       0:00      4 (Priority)
           7405819 general-c 18s0.041  xliang5 PD       0:00      2 (Priority)
           7405923 general-c c4_dr_14  xliang5 PD       0:00      4 (Priority)
           7405884 general-c  s15a100 yiqichen PD       0:00      1 (Priority)
           7405970 general-c   dpkrpm yiqichen PD       0:00      4 (Priority)
           7406091 general-c   dplrpm yiqichen PD       0:00      4 (Priority)
           7406198 general-c   a10d3g yiqichen PD       0:00      4 (Priority)
           7406252 general-c   s3a10g yiqichen PD       0:00      4 (Priority)
           7406254 general-c a100tdpl yiqichen PD       0:00      4 (Priority)
           7403302 general-c   Normal  xyang37 PD       0:00      9 (Priority)
           7405195 general-c    Exp01  xyang37 PD       0:00      9 (Priority)
           7405199 general-c      Exp  xyang37 PD       0:00      9 (Priority)
           7405203 general-c Gamma01.  xyang37 PD       0:00      9 (Priority)
           7405204 general-c Gamma02.  xyang37 PD       0:00      9 (Priority)
           7405205 general-c Gamma03.  xyang37 PD       0:00      9 (Priority)
           7405222 general-c    Exp02  xyang37 PD       0:00      9 (Priority)
           7404496 general-c     2769 yudhajit PD       0:00      1 (Priority)
           7404497 general-c     2770 yudhajit PD       0:00      1 (Priority)
           7404498 general-c     2771 yudhajit PD       0:00      1 (Priority)
           7404501 general-c     2772 yudhajit PD       0:00      1 (Priority)
           7404503 general-c     2773 yudhajit PD       0:00      1 (Priority)
           7404504 general-c     2774 yudhajit PD       0:00      1 (Priority)
           7404506 general-c     2776 yudhajit PD       0:00      1 (Priority)
           7404505 general-c     2775 yudhajit PD       0:00      1 (Priority)
           7404507 general-c     2777 yudhajit PD       0:00      1 (Priority)
           7404508 general-c     2778 yudhajit PD       0:00      1 (Priority)
           7404509 general-c     2779 yudhajit PD       0:00      1 (Priority)
           7404510 general-c     2780 yudhajit PD       0:00      1 (Priority)
           7404512 general-c     2781 yudhajit PD       0:00      1 (Priority)
           7404513 general-c     2782 yudhajit PD       0:00      1 (Priority)
           7404514 general-c     2783 yudhajit PD       0:00      1 (Priority)
           7404515 general-c     2784 yudhajit PD       0:00      1 (Priority)
           7404516 general-c     2785 yudhajit PD       0:00      1 (Priority)
           7404517 general-c     2786 yudhajit PD       0:00      1 (Priority)
           7404518 general-c     2787 yudhajit PD       0:00      1 (Priority)
           7404519 general-c     2788 yudhajit PD       0:00      1 (Priority)
           7404520 general-c     2789 yudhajit PD       0:00      1 (Priority)
           7404521 general-c     2790 yudhajit PD       0:00      1 (Priority)
           7404523 general-c     2791 yudhajit PD       0:00      1 (Priority)
           7404524 general-c     2792 yudhajit PD       0:00      1 (Priority)
           7404525 general-c     2793 yudhajit PD       0:00      1 (Priority)
           7404526 general-c     2794 yudhajit PD       0:00      1 (Priority)
           7404527 general-c     2795 yudhajit PD       0:00      1 (Priority)
           7404528 general-c     2796 yudhajit PD       0:00      1 (Priority)
           7404529 general-c     2797 yudhajit PD       0:00      1 (Priority)
           7404530 general-c     2798 yudhajit PD       0:00      1 (Priority)
           7404531 general-c     2799 yudhajit PD       0:00      1 (Priority)
           7404532 general-c     2800 yudhajit PD       0:00      1 (Priority)
           7404534 general-c     2801 yudhajit PD       0:00      1 (Priority)
           7404535 general-c     2802 yudhajit PD       0:00      1 (Priority)
           7404536 general-c     2803 yudhajit PD       0:00      1 (Priority)
           7404537 general-c     2804 yudhajit PD       0:00      1 (Priority)
           7404538 general-c     2805 yudhajit PD       0:00      1 (Priority)
           7404539 general-c     2806 yudhajit PD       0:00      1 (Priority)
           7404540 general-c     2807 yudhajit PD       0:00      1 (Priority)
           7404541 general-c     2808 yudhajit PD       0:00      1 (Priority)
           7404543 general-c     2809 yudhajit PD       0:00      1 (Priority)
           7404544 general-c     2810 yudhajit PD       0:00      1 (Priority)
           7404545 general-c     2811 yudhajit PD       0:00      1 (Priority)
           7404546 general-c     2812 yudhajit PD       0:00      1 (Priority)
           7404547 general-c     2813 yudhajit PD       0:00      1 (Priority)
           7404548 general-c     2814 yudhajit PD       0:00      1 (Priority)
           7404549 general-c     2815 yudhajit PD       0:00      1 (Priority)
           7404550 general-c     2816 yudhajit PD       0:00      1 (Priority)
           7404551 general-c     2817 yudhajit PD       0:00      1 (Priority)
           7404552 general-c     2818 yudhajit PD       0:00      1 (Priority)
           7404553 general-c     2819 yudhajit PD       0:00      1 (Priority)
           7404555 general-c     2820 yudhajit PD       0:00      1 (Priority)
           7404556 general-c     2821 yudhajit PD       0:00      1 (Priority)
           7404557 general-c     2822 yudhajit PD       0:00      1 (Priority)
           7404558 general-c     2823 yudhajit PD       0:00      1 (Priority)
           7404559 general-c     2824 yudhajit PD       0:00      1 (Priority)
           7404560 general-c     2825 yudhajit PD       0:00      1 (Priority)
           7404561 general-c     2826 yudhajit PD       0:00      1 (Priority)
           7404562 general-c     2827 yudhajit PD       0:00      1 (Priority)
           7404563 general-c     2828 yudhajit PD       0:00      1 (Priority)
           7404564 general-c     2829 yudhajit PD       0:00      1 (Priority)
           7404565 general-c     2830 yudhajit PD       0:00      1 (Priority)
           7404566 general-c     2831 yudhajit PD       0:00      1 (Priority)
           7404567 general-c     2832 yudhajit PD       0:00      1 (Priority)
           7404569 general-c     2833 yudhajit PD       0:00      1 (Priority)
           7404570 general-c     2834 yudhajit PD       0:00      1 (Priority)
           7404571 general-c     2835 yudhajit PD       0:00      1 (Priority)
           7404572 general-c     2836 yudhajit PD       0:00      1 (Priority)
           7404573 general-c     2837 yudhajit PD       0:00      1 (Priority)
           7404574 general-c     2838 yudhajit PD       0:00      1 (Priority)
           7404575 general-c     2839 yudhajit PD       0:00      1 (Priority)
           7404576 general-c     2840 yudhajit PD       0:00      1 (Priority)
           7404577 general-c     2841 yudhajit PD       0:00      1 (Priority)
           7404579 general-c     2842 yudhajit PD       0:00      1 (Priority)
           7404580 general-c     2843 yudhajit PD       0:00      1 (Priority)
           7404581 general-c     2844 yudhajit PD       0:00      1 (Priority)
           7404582 general-c     2845 yudhajit PD       0:00      1 (Priority)
           7404583 general-c     2846 yudhajit PD       0:00      1 (Priority)
           7404584 general-c     2847 yudhajit PD       0:00      1 (Priority)
           7404585 general-c     2848 yudhajit PD       0:00      1 (Priority)
           7404586 general-c     2849 yudhajit PD       0:00      1 (Priority)
           7404588 general-c     2850 yudhajit PD       0:00      1 (Priority)
           7404589 general-c     2851 yudhajit PD       0:00      1 (Priority)
           7404590 general-c     2852 yudhajit PD       0:00      1 (Priority)
           7404591 general-c     2853 yudhajit PD       0:00      1 (Priority)
           7404592 general-c     2854 yudhajit PD       0:00      1 (Priority)
           7404593 general-c     2855 yudhajit PD       0:00      1 (Priority)
           7404594 general-c     2856 yudhajit PD       0:00      1 (Priority)
           7404595 general-c     2857 yudhajit PD       0:00      1 (Priority)
           7404597 general-c     2858 yudhajit PD       0:00      1 (Priority)
           7404598 general-c     2859 yudhajit PD       0:00      1 (Priority)
           7404599 general-c     2860 yudhajit PD       0:00      1 (Priority)
           7404600 general-c     2861 yudhajit PD       0:00      1 (Priority)
           7404601 general-c     2862 yudhajit PD       0:00      1 (Priority)
           7404602 general-c     2863 yudhajit PD       0:00      1 (Priority)
           7404603 general-c     2864 yudhajit PD       0:00      1 (Priority)
           7404604 general-c     2865 yudhajit PD       0:00      1 (Priority)
           7404605 general-c     2866 yudhajit PD       0:00      1 (Priority)
           7404607 general-c     2867 yudhajit PD       0:00      1 (Priority)
           7404608 general-c     2868 yudhajit PD       0:00      1 (Priority)
           7404609 general-c     2869 yudhajit PD       0:00      1 (Priority)
           7404610 general-c     2870 yudhajit PD       0:00      1 (Priority)
           7404611 general-c     2871 yudhajit PD       0:00      1 (Priority)
