             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7348097 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348098 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348099 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348100 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348101 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348102 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348103 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348104 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348105 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348106 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348107 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348108 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348109 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348110 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348111 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348112 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348113 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348114 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348115 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348116 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348117 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348118 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348119 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348120 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348121 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348122 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348123 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348124 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348125 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348126 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348127 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348128 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348129 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348130 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348131 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
