-1.83333,0
-1.33333,-0.05
-0.5,-0.6
0,-1
-1.95,0
-1.5,0
-1.66667,0
-0.166667,-0.8
-0.333333,-0.6
-0.666667,-0.3
-1,-0.25
-0.833333,-0.15
-1.16667,-0.15
-1.33333,0
-0.5,-0.55
-1.83333,0
-1.9,0
-0.333333,-0.55
-0.166667,-0.75
-1,-0.2
-0.666667,-0.25
-1.5,0
-1.66667,0
-0.833333,-0.1
-1.33333,0.0500001
-0.5,-0.5
-0.166667,-0.7
-1.78333,0
-0.333333,-0.5
-1,-0.15
-0.666667,-0.2
-0.833333,-0.05
-1.16667,-0.1
-1.61667,0
-1.45,0
-0.5,-0.45
-1.33333,-0.05
-0.333333,-0.45
-1,-0.1
-0.666667,-0.15
-0.833333,0
-0.166667,-0.6
-1.73333,0
-1.56667,0
-1.4,0
-0.5,-0.4
-1.33333,0
-0.333333,-0.4
-0.666667,-0.1
-1,-0.05
-0.833333,0.0500001
-0.166667,-0.55
-1.16667,-0.05
-0.5,-0.35
-1.33333,0.0500001
-0.333333,-0.35
-1,0
-0.666667,-0.05
-0.833333,0.1
-0.166667,-0.5
-1.16667,0
-0.5,-0.3
-0.333333,-0.3
-0.666667,0
-1,0.0500001
-0.833333,0.15
-1.28333,-0.05
-0.166667,-0.45
-0.5,-0.25
-0.333333,-0.25
-0.666667,0.0500001
-1,0.1
-1.28333,0
-0.166667,-0.4
-0.833333,-0.15
-1.16667,0.0500001
-0.5,-0.2
-0.333333,-0.2
-0.666667,0.1
-1,0.15
-1.28333,0.0500001
-0.166667,-0.35
-0.833333,-0.1
-0.5,-0.15
-0.333333,-0.15
-0.666667,0.15
-1,0.2
-0.166667,-0.3
-1.23333,-0.05
-0.833333,-0.05
-1.16667,0.1
-0.5,-0.1
-0.333333,-0.1
-0.666667,0.2
-1,0.25
-0.166667,-0.25
-1.23333,0
-0.833333,0
-0.5,-0.05
-0.333333,-0.05
-0.666667,0.25
-0.166667,-0.2
-1,-0.25
-1.23333,0.0500001
-0.833333,0.0500001
-1.16667,0.15
-0.5,0
-0.333333,0
-0.666667,0.3
-1,-0.2
-0.166667,-0.15
-0.833333,0.1
-0.5,0.0500001
-0.333333,0.0500001
-1,-0.15
-0.166667,-0.1
-0.833333,0.15
-0.666667,-0.3
-0.5,0.1
-0.333333,0.1
-1.16667,-0.15
-1,-0.1
-0.166667,-0.05
-0.666667,-0.25
-0.5,0.15
-0.783333,-0.1
-0.333333,0.15
-1,-0.05
-0.166667,0
-1.16667,-0.1
-0.666667,-0.2
-0.5,0.2
-0.783333,-0.05
-0.333333,0.2
-1,0
-0.166667,0.0500001
-0.666667,-0.15
-0.5,0.25
-0.333333,0.25
-0.783333,0
-1,0.0500001
-0.166667,0.1
-1.16667,-0.05
-0.666667,-0.1
-0.5,0.3
-0.783333,0.0500001
-0.333333,0.3
-1,0.1
-0.166667,0.15
-0.666667,-0.05
-0.5,0.35
-0.783333,0.1
-0.333333,0.35
-1.16667,0
-1,0.15
-0.166667,0.2
-0.666667,0
-0.5,0.4
-0.333333,0.4
-1,0.2
-0.733333,-0.15
-0.166667,0.25
-0.666667,0.0500001
-0.5,0.45
-0.333333,0.45
-1.16667,0.0500001
-1,0.25
-0.733333,-0.1
-0.166667,0.3
-0.666667,0.1
-0.5,0.5
-0.333333,0.5
-0.733333,-0.05
-0.166667,0.35
-0.95,-0.2
-1.16667,0.1
-0.666667,0.15
-0.5,0.55
-0.333333,0.55
-0.733333,0
-0.166667,0.4
-0.95,-0.15
-0.666667,0.2
-0.5,0.6
-0.333333,0.6
-1.16667,0.15
-0.733333,0.0500001
-0.166667,0.45
-0.95,-0.1
-0.666667,0.25
-0.5,-0.6
-0.333333,-0.6
-0.733333,0.1
-0.166667,0.5
-0.95,-0.05
-0.666667,0.3
-0.5,-0.55
-0.333333,-0.55
-0.733333,0.15
-0.166667,0.55
-0.95,0
-1.11667,-0.25
-0.5,-0.5
-0.333333,-0.5
-0.616667,-0.4
-0.166667,0.6
-0.95,0.0500001
-0.5,-0.45
-0.333333,-0.45
-1.11667,-0.2
-0.616667,-0.35
-0.95,0.1
-0.166667,0.7
-0.5,-0.4
-0.333333,-0.4
-0.616667,-0.3
-0.95,0.15
-0.166667,0.75
-1.11667,-0.15
-0.5,-0.35
-0.333333,-0.35
-0.616667,-0.25
-0.95,0.2
-0.166667,0.8
-0.5,-0.3
-0.333333,-0.3
-0.616667,-0.2
-1.11667,-0.1
-0.166667,-0.8
-0.5,-0.25
-0.9,-0.2
-0.333333,-0.25
-0.616667,-0.15
-0.166667,-0.75
-0.5,-0.2
-0.9,-0.15
-1.11667,-0.05
-0.333333,-0.2
-0.616667,-0.1
0.166667,-0.55
0.333333,-0.35
0,-1
0.166667,-0.5
0.333333,-0.3
0.166667,-0.45
0,-0.6
0.333333,-0.25
0.166667,-0.4
0,-0.55
0.333333,-0.2
0.166667,-0.35
0,-0.5
0.333333,-0.15
0.166667,-0.3
0,-0.45
0.333333,-0.1
0.166667,-0.25
0,-0.4
0.333333,0.1
0.166667,-0.2
0,-0.35
0.333333,0.15
0.166667,-0.15
0,-0.3
0.333333,0.2
0.166667,-0.1
0,-0.25
0.333333,0.25
0.166667,-0.05
0,-0.2
