8	5.39084

16	17.0213

32	43.0108

64	80.402

128	177.778

256	315.271

512	715.084

1024	1438.2

2048	2547.26

4096	4946.86

8192	9706.16

16384	17886.5

32768	39574.9

65536	77283

131072	163025

262144	283706

524288	639376

1.04858e+06	1.3042e+06

2.09715e+06	2.48478e+06

4.1943e+06	4.59902e+06

8.38861e+06	9.07858e+06

1.67772e+07	2.00684e+07

3.35544e+07	3.99458e+07

6.71089e+07	7.5573e+07

1.34218e+08	1.58276e+08

2.68435e+08	3.07839e+08

5.36871e+08	6.10081e+08

1.07374e+09	1.27221e+09

